Season,No_Overall,No_Season,Title,Director,Writer,Original_Air_Date,Prod_code,US_Viewers_Mil
7,161,15,"""The One with Joey's New Brain""",Kevin S. Bright,Story by : Sherry Bilsing & Ellen Plummer. Teleplay by : Andrew Reich & Ted Cohen. ,15-Feb-01,226416,21.75[11]
7,162,16,"""The One with the Truth About London""",David Schwimmer,Story by : Brian Buckner & Sebastian Jones. Teleplay by : Zachary Rosenblatt. ,22-Feb-01,226417,21.22[11]
7,163,17,"""The One with the Cheap Wedding Dress""",Kevin S. Bright,Story by : Brian Buckner & Sebastian Jones. Teleplay by : Andrew Reich & Ted Cohen. ,15-Mar-01,226414,20.84[11]
7,164,18,"""The One with Joey's Award""",Gary Halvorson,Story by : Sherry Bilsing & Ellen Plummer. Teleplay by : Brian Boyle. ,29-Mar-01,226418,17.81[11]
7,165,19,"""The One with Ross and Monica's Cousin""",Gary Halvorson,Andrew Reich & Ted Cohen,19-Apr-01,226421,16.55[11]
7,166,20,"""The One with Rachel's Big Kiss""",Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,26-Apr-01,226419,16.30[11]
7,167,21,"""The One with the Vows""",Gary Halvorson,Doty Abrams,3-May-01,226424,15.65[11]
7,168,22,"""The One with Chandler's Dad""",Kevin S. Bright & Gary Halvorson,Story by : Gregory S. Malins. Teleplay by : Brian Buckner & Sebastian Jones. ,10-May-01,226420,17.23[11]
7,169,23,"""The One with Monica and Chandler's Wedding"" (Pt I)",Kevin S. Bright,Gregory S. Malins,17-May-01,226422,30.05[11]
7,170,24,"""The One with Monica and Chandler's Wedding"" (Pt II)",Kevin S. Bright,Marta Kauffman & David Crane,17-May-01,226423,30.05[11]
8,171,1,"""The One After 'I Do'""",Kevin S. Bright,David Crane & Marta Kauffman,27-Sep-01,227401,31.70[12]
8,172,2,"""The One with the Red Sweater""",David Schwimmer,Dana Klein Borkow,4-Oct-01,227402,30.04[12]
8,173,3,"""The One Where Rachel Tells...""",Sheldon Epps,Sherry Bilsing & Ellen Plummer,11-Oct-01,227403,29.20[12]
8,174,4,"""The One with the Videotape""",Kevin S. Bright,Scott Silveri,18-Oct-01,227406,25.58[12]
8,175,5,"""The One with Rachel's Date""",Gary Halvorson,Brian Buckner & Sebastian Jones,25-Oct-01,227404,25.64[12]
8,176,6,"""The One with the Halloween Party""",Gary Halvorson,Mark Kunerth,1-Nov-01,227405,26.96[12]
8,177,7,"""The One with the Stain""",Kevin S. Bright,R. Lee Fleming Jr.,8-Nov-01,227407,24.24[12]
8,178,8,"""The One with the Stripper""",David Schwimmer,Andrew Reich & Ted Cohen,15-Nov-01,227408,26.54[12]
8,179,9,"""The One with the Rumor""",Gary Halvorson,Shana Goldberg-Meehan,22-Nov-01,227410,24.24[12]
8,180,10,"""The One with Monica's Boots""",Kevin S. Bright,Story by : Robert Carlock. Teleplay by : Brian Buckner & Sebastian Jones. ,6-Dec-01,227409,22.44[12]
8,181,11,"""The One with Ross's Step Forward""",Gary Halvorson,Robert Carlock,13-Dec-01,227411,23.85[12]
8,182,12,"""The One Where Joey Dates Rachel""",David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,10-Jan-02,227412,25.53[12]
8,183,13,"""The One Where Chandler Takes a Bath""",Ben Weiss,Vanessa McCarthy,17-Jan-02,227413,29.24[12]
8,184,14,"""The One with the Secret Closet""",Kevin S. Bright,Brian Buckner & Sebastian Jones,31-Jan-02,227414,28.64[12]
8,185,15,"""The One with the Birthing Video""",Kevin S. Bright,Dana Klein Borkow,7-Feb-02,227415,28.64[12]
8,186,16,"""The One Where Joey Tells Rachel""",Ben Weiss,Andrew Reich & Ted Cohen,28-Feb-02,227416,27.52[12]
8,187,17,"""The One with the Tea Leaves""",Gary Halvorson,Story by : R. Lee Fleming Jr. Teleplay by : Steven Rosenhaus. ,7-Mar-02,227417,26.30[12]
8,188,18,"""The One in Massapequa""",Gary Halvorson,Story by : Peter Tibbals. Teleplay by : Mark Kunerth. ,28-Mar-02,227418,22.05[12]
8,189,19,"""The One with Joey's Interview""",Gary Halvorson,Doty Abrams,4-Apr-02,227424,22.59[12]
8,190,20,"""The One with the Baby Shower""",Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,25-Apr-02,227421,22.24[12]
